,dates,confirmed,deaths,recovered,unrecovered,confirmed_increment,deaths_increment,recovered_increment,unrecovered_increment,death_rate,recovered_rate,mobility,people_vaccinated,total_tests,icu_patients,hosp_patients,median_age,trends_covid,trends_vaccine
83,83,2003766,134812,473698,1395256,83967.0,6969.0,25074.0,51924.0,0.06727931305352022,0.236403851547536,291361.5700000009,0.0,12878157.0,20474.0,101771.0,30.444571428571418,77.0,10.0
84,84,2080914,143278,510237,1427399,77148.0,8466.0,36539.0,32143.0,0.06885339807411552,0.24519850411886315,304604.34000000026,0.0,13316159.0,20024.0,102740.0,30.444571428571418,81.0,9.0
85,85,2176465,150537,541120,1484808,95551.0,7259.0,30883.0,57409.0,0.06916582623658088,0.24862334105992975,311221.34000000067,0.0,13809189.0,19713.0,102007.0,30.444571428571418,80.0,10.0
86,86,2264462,158930,567304,1538228,87997.0,8393.0,26184.0,53420.0,0.07018444116085852,0.2505248487278656,334810.8599999997,0.0,14855756.0,19307.0,99585.0,30.444571428571418,83.0,10.0
87,87,2341702,165082,591170,1585450,77240.0,6152.0,23866.0,47222.0,0.07049658752480034,0.25245313024458277,316819.7299999997,0.0,15006455.0,19133.0,95224.0,30.444571428571418,74.0,9.0
88,88,2418307,170314,622953,1625040,76605.0,5232.0,31783.0,39590.0,0.07042695571736757,0.25759880776096666,267379.4200000001,0.0,18215162.0,18688.0,97548.0,30.444571428571418,71.0,9.0
89,89,2494325,176188,645131,1673006,76018.0,5874.0,22178.0,47966.0,0.07063554268188789,0.2586395116915398,316709.6300000005,0.0,16240402.0,18567.0,97278.0,30.444571428571418,73.0,8.0
90,90,2570074,183463,679933,1706678,75749.0,7275.0,34802.0,33672.0,0.07138432589878735,0.26455775203359905,318668.05000000016,0.0,17132542.0,17902.0,95746.0,30.444571428571418,73.0,9.0
91,91,2651321,190319,710018,1750984,81247.0,6856.0,30085.0,44306.0,0.07178270756351268,0.2677978260648183,323277.06000000006,0.0,17537174.0,17349.0,94558.0,30.444571428571418,71.0,13.0
92,92,2735570,197152,738748,1799670,84249.0,6833.0,28730.0,48686.0,0.07206980629265565,0.2700526764074763,325969.4699999993,0.0,20229120.0,16831.0,91544.0,30.444571428571418,70.0,12.0
93,93,2819666,203920,788777,1826969,84096.0,6768.0,50029.0,27299.0,0.07232062237158586,0.27974128850722035,365045.6399999999,0.0,20021402.0,16229.0,89036.0,30.444571428571418,67.0,11.0
94,94,2901925,209547,816532,1875846,82259.0,5627.0,27755.0,48877.0,0.07220965393661104,0.28137598318357643,346756.2299999993,0.0,20348423.0,15860.0,86958.0,30.444571428571418,63.0,11.0
95,95,2973513,213526,845344,1914643,71588.0,3979.0,28812.0,38797.0,0.07180933797834413,0.2842913415882157,295831.91999999946,0.0,23648219.0,15545.0,86589.0,30.444571428571418,65.0,11.0
96,96,3043705,218271,873228,1952206,70192.0,4745.0,27884.0,37563.0,0.07171227172147103,0.28689639764694674,335521.79999999877,0.0,22660935.0,15125.0,85443.0,30.444571428571418,70.0,10.0
97,97,3119245,224852,906440,1987953,75540.0,6581.0,33212.0,35747.0,0.07208539245875203,0.29059596152274025,341831.44999999995,0.0,23355553.0,14598.0,83440.0,30.444571428571418,71.0,9.0
98,98,3196355,231573,948517,2016265,77110.0,6721.0,42077.0,28312.0,0.07244908653763428,0.2967495788171214,345550.5899999986,0.0,24587525.0,14021.0,81466.0,30.444571428571418,69.0,11.0
99,99,3279850,237416,1013633,2028801,83495.0,5843.0,65116.0,12536.0,0.07238623717548058,0.3090485845389271,366803.79999999923,0.0,26471834.0,13493.0,79135.0,30.42865168539325,68.0,11.0
100,100,3368226,242563,1051790,2073873,88376.0,5147.0,38157.0,45072.0,0.07201506074711139,0.31226823853268754,415007.48999999993,0.0,27149337.0,12963.0,76866.0,30.347457627118633,67.0,10.0
101,101,3447426,248059,1092441,2106926,79200.0,5496.0,40651.0,33053.0,0.07195484399084999,0.31688598972102666,405374.9300000001,0.0,28081107.0,12660.0,75962.0,30.347457627118633,62.0,9.0
102,102,3523799,251569,1124974,2147256,76373.0,3510.0,32533.0,40330.0,0.07139141591220158,0.31925033181518014,347815.9699999999,0.0,31765042.0,12440.0,75595.0,30.347457627118633,65.0,10.0
103,103,3601488,255781,1159060,2186647,77689.0,4212.0,34086.0,39391.0,0.07102092246315968,0.3218280888343929,377841.0899999992,0.0,30167796.0,12151.0,74672.0,30.347457627118633,66.0,9.0
104,104,3681990,261608,1195533,2224849,80502.0,5827.0,36473.0,38202.0,0.07105070899160508,0.32469751411600795,379653.4900000013,0.0,30596528.0,11547.0,72805.0,30.347457627118633,65.0,12.0
105,105,3772017,268110,1241652,2262255,90027.0,6502.0,46119.0,37406.0,0.07107868283732549,0.3291745503798101,392879.31000000046,0.0,31875715.0,10920.0,70600.0,30.347457627118633,66.0,18.0
106,106,3860724,273417,1281177,2306130,88707.0,5307.0,39525.0,43875.0,0.07082013632676151,0.331848896735431,414576.1300000008,0.0,35111125.0,10435.0,68287.0,30.347457627118633,63.0,13.0
